7,3,3,0.11538461538461539,0.11538461538461539
10,4,7,0.15384615384615385,0.2692307692307693
11,1,8,0.038461538461538464,0.3076923076923077
12,1,9,0.038461538461538464,0.34615384615384615
13,1,10,0.038461538461538464,0.3846153846153846
14,1,11,0.038461538461538464,0.423076923076923
15,3,14,0.11538461538461539,0.5384615384615384
16,4,18,0.15384615384615385,0.6923076923076923
17,2,20,0.07692307692307693,0.7692307692307692
19,2,22,0.07692307692307693,0.846153846153846
22,2,24,0.07692307692307693,0.9230769230769229
23,1,25,0.038461538461538464,0.9615384615384613
27,1,26,0.038461538461538464,0.9999999999999998
